#<lower left points><upper right points>
(0,0)	(0.0247224,0.0146065)
(0.135477,0)	(0.143818,0.0302121)
(0.135477,0.835009)	(0.186466,0.852613)
(0,0.835009)	(0.00201234,0.915774)
(0.326566,0.835009)	(0.329787,0.840727)
(0.326566,0.885854)	(0.420763,0.896525)
(0.135477,0.885854)	(0.157372,0.894866)
(0.298338,0)	(0.300869,0.135915)
(0.298338,0.829064)	(0.618794,0.830532)
(0.135477,0.829064)	(0.213953,0.830066)
(0.977333,0.829064)	(1,0.833379)
(0.977333,0.833379)	(1,0.835009)
(0.298338,0.833379)	(0.35684,0.834938)
(0.375423,0)	(0.537212,0.0241759)
(0.375423,0.661681)	(0.40978,0.694343)
(0.298338,0.661681)	(0.323804,0.675825)
(0.329787,0.835009)	(0.489892,0.8364)
(0.329787,0.840727)	(0.418019,0.850416)
(0.326566,0.840727)	(0.329787,0.885854)
(0.924071,0)	(0.974458,0.0419568)
(0.924071,0.333264)	(0.951503,0.402864)
(0.375423,0.333264)	(0.450763,0.335432)
(0.951503,0.333264)	(0.968944,0.381352)
(0.951503,0.402864)	(0.957395,0.410185)
(0.924071,0.402864)	(0.925967,0.539272)
(0.624466,0.661681)	(0.626037,0.663559)
(0.624466,0.785653)	(0.66208,0.797135)
(0.375423,0.785653)	(0.434179,0.795298)
(0.607001,0)	(0.633819,0.00589395)
(0.607001,0.057943)	(0.608398,0.0738514)
(0.375423,0.057943)	(0.400253,0.0959385)
(0.863481,0.885854)	(0.879556,0.891271)
(0.863481,0.921987)	(0.901069,0.937487)
(0.326566,0.921987)	(0.396283,0.960473)
(0.65428,0.057943)	(0.65444,0.149455)
(0.65428,0.331631)	(0.777313,0.332895)
(0.607001,0.331631)	(0.6538,0.333052)
(0.404413,0.057943)	(0.412792,0.090274)
(0.404413,0.26822)	(0.408195,0.284002)
(0.375423,0.26822)	(0.404413,0.333264)
(0.974458,0)	(0.995253,0.0260677)
(0.974458,0.0419568)	(0.97453,0.24899)
(0.924071,0.0419568)	(0.954553,0.0784423)
(0.143818,0)	(0.177968,0.0194676)
(0.143818,0.0302121)	(0.16196,0.0508804)
(0.135477,0.0302121)	(0.137061,0.351008)
(0.626698,0.333264)	(0.762621,0.333389)
(0.626698,0.49339)	(0.664324,0.515275)
(0.375423,0.49339)	(0.377236,0.510546)
(0.286111,0.0302121)	(0.290902,0.0541393)
(0.286111,0.67531)	(0.287347,0.73264)
(0.143818,0.67531)	(0.165333,0.687299)
(0.97453,0.0419568)	(0.992829,0.101542)
(0.97453,0.24899)	(0.98071,0.261276)
(0.974458,0.24899)	(0.97453,0.333264)
(0.777313,0.331631)	(0.924071,0.332895)
(0.777313,0.332895)	(0.924071,0.333264)
(0.65428,0.332895)	(0.777313,0.333264)
(0.890821,0.057943)	(0.892637,0.0875356)
(0.890821,0.279131)	(0.895184,0.284601)
(0.65428,0.279131)	(0.758043,0.289607)
(0.11126,0)	(0.113815,0.138536)
(0.11126,0.685409)	(0.120967,0.703372)
(0,0.685409)	(0.0322752,0.719852)
(0.98504,0.24899)	(1,0.284652)
(0.98504,0.284652)	(0.987046,0.302893)
(0.97453,0.284652)	(0.98504,0.333264)
(0.691667,0.057943)	(0.701811,0.0605753)
(0.691667,0.226429)	(0.71714,0.229391)
(0.65428,0.226429)	(0.659984,0.247273)
(0.577082,0.661681)	(0.591423,0.773919)
(0.577082,0.78423)	(0.624466,0.785653)
(0.375423,0.78423)	(0.577082,0.785653)
(0.450763,0.333264)	(0.626698,0.335432)
(0.450763,0.335432)	(0.469121,0.340068)
(0.375423,0.335432)	(0.376033,0.442889)
(0.585548,0)	(0.596557,0.00443951)
(0.585548,0.0491628)	(0.607001,0.057943)
(0.375423,0.0491628)	(0.494006,0.0553818)
(0.613989,0.661681)	(0.624466,0.782693)
(0.613989,0.782693)	(0.624466,0.78423)
(0.577082,0.782693)	(0.613989,0.78423)
(0.0882956,0)	(0.089471,0.0835266)
(0.0882956,0.407478)	(0.098249,0.410589)
(0,0.407478)	(0.00469314,0.497114)
(0.550118,0.49339)	(0.553338,0.584615)
(0.550118,0.607798)	(0.605308,0.60798)
(0.375423,0.607798)	(0.38687,0.620293)
(0.940144,0.921987)	(0.96218,0.928389)
(0.940144,0.938219)	(0.972475,0.939359)
(0.863481,0.938219)	(0.889449,0.943587)
(0.201334,0.0302121)	(0.215759,0.0982663)
(0.201334,0.257778)	(0.204606,0.375971)
(0.143818,0.257778)	(0.149848,0.291909)
(0.732665,0.49339)	(0.747257,0.509968)
(0.732665,0.655785)	(0.741069,0.659989)
(0.626698,0.655785)	(0.732665,0.661681)
(0.328779,0)	(0.334407,0.189071)
(0.328779,0.256266)	(0.347084,0.272839)
(0.298338,0.256266)	(0.299408,0.393443)
(0.591423,0.661681)	(0.598373,0.676604)
(0.591423,0.773919)	(0.613989,0.782693)
(0.577082,0.773919)	(0.591423,0.782693)
(0.579181,0.057943)	(0.582333,0.0682889)
(0.579181,0.18839)	(0.594596,0.189774)
(0.404413,0.18839)	(0.408855,0.195119)
(0.618794,0.829064)	(0.977333,0.830532)
(0.618794,0.830532)	(0.977333,0.833379)
(0.298338,0.830532)	(0.329754,0.833261)
(0.702581,0.49339)	(0.711938,0.512032)
(0.702581,0.653898)	(0.732665,0.655785)
(0.626698,0.653898)	(0.702581,0.655785)
(0.611317,0.335432)	(0.626698,0.41528)
(0.611317,0.41528)	(0.626698,0.49339)
(0.450763,0.41528)	(0.454327,0.438662)
(0.292263,0.0302121)	(0.295184,0.087858)
(0.292263,0.328553)	(0.298338,0.67531)
(0.286111,0.328553)	(0.287667,0.409582)
(0.453614,0.49339)	(0.461678,0.496717)
(0.453614,0.591146)	(0.550118,0.607798)
(0.375423,0.591146)	(0.444478,0.594929)
(0.123333,0)	(0.125714,0.138704)
(0.123333,0.67165)	(0.135477,0.685409)
(0.11126,0.67165)	(0.122421,0.68042)
(0.086265,0)	(0.0882956,0.147991)
(0.086265,0.147991)	(0.0882956,0.407478)
(0,0.147991)	(0.043721,0.154711)
(0.0962466,0)	(0.0990684,0.111969)
(0.0962466,0.34875)	(0.11126,0.407478)
(0.0882956,0.34875)	(0.0962466,0.407478)
(0.089431,0.835009)	(0.0903008,0.940987)
(0.089431,0.958742)	(0.126296,0.97239)
(0,0.958742)	(0.0195738,0.976243)
(0.374064,0.661681)	(0.375423,0.677642)
(0.374064,0.677642)	(0.375423,0.829064)
(0.298338,0.677642)	(0.299149,0.685508)
(0.644924,0.057943)	(0.65428,0.0791695)
(0.644924,0.0791695)	(0.653445,0.113423)
(0.607001,0.0791695)	(0.613157,0.112933)
(0.376033,0.335432)	(0.397656,0.372006)
(0.376033,0.442889)	(0.409717,0.453631)
(0.375423,0.442889)	(0.376033,0.49339)
(0.758043,0.279131)	(0.890821,0.289607)
(0.758043,0.289607)	(0.805131,0.318201)
(0.65428,0.289607)	(0.665493,0.306147)
(0.586032,0.840727)	(0.586533,0.849724)
(0.586032,0.875132)	(0.72174,0.88536)
(0.329787,0.875132)	(0.513033,0.875704)
(0.462382,0.885854)	(0.50334,0.890968)
(0.462382,0.904092)	(0.637636,0.908464)
(0.326566,0.904092)	(0.348269,0.91868)
(0.575987,0.18839)	(0.579181,0.254126)
(0.575987,0.254126)	(0.579181,0.26822)
(0.404413,0.254126)	(0.441251,0.255965)
(0.412792,0.057943)	(0.542214,0.0605533)
(0.412792,0.090274)	(0.417336,0.104096)
(0.404413,0.090274)	(0.408651,0.108744)
(0.593291,0.335432)	(0.611317,0.362887)
(0.593291,0.362887)	(0.601818,0.367593)
(0.450763,0.362887)	(0.465178,0.384477)
(0.0145658,0.835009)	(0.0548251,0.838252)
(0.0145658,0.943568)	(0.089431,0.958742)
(0,0.943568)	(0.0145658,0.958742)
(0.693482,0)	(0.744748,0.00365208)
(0.693482,0.0285336)	(0.809319,0.0517368)
(0.607001,0.0285336)	(0.667883,0.0328239)
(0.901069,0.921987)	(0.933292,0.927556)
(0.901069,0.937487)	(0.903931,0.937508)
(0.863481,0.937487)	(0.901069,0.938219)
(0.187387,0.257778)	(0.187408,0.329559)
(0.187387,0.439507)	(0.189737,0.64307)
(0.143818,0.439507)	(0.151282,0.451497)
(0.00469314,0.407478)	(0.0251078,0.411666)
(0.00469314,0.497114)	(0.0098439,0.51875)
(0,0.497114)	(0.00469314,0.685409)
(0.273082,0.67531)	(0.274796,0.686572)
(0.273082,0.799718)	(0.286111,0.829064)
(0.143818,0.799718)	(0.163399,0.814259)
(0.396283,0.921987)	(0.403876,0.926704)
(0.396283,0.960473)	(0.403186,0.981162)
(0.326566,0.960473)	(0.396283,1)
(0.992829,0.0419568)	(1,0.101542)
(0.992829,0.101542)	(0.998389,0.141827)
(0.97453,0.101542)	(0.982024,0.117426)
(0.366648,0.256266)	(0.367409,0.350457)
(0.366648,0.382962)	(0.374764,0.541509)
(0.328779,0.382962)	(0.340012,0.511644)
(0.902257,0.279131)	(0.912113,0.299495)
(0.902257,0.321959)	(0.911618,0.325777)
(0.890821,0.321959)	(0.902257,0.331631)
(0.511681,0.41528)	(0.53553,0.43113)
(0.511681,0.451093)	(0.610332,0.461248)
(0.450763,0.451093)	(0.500362,0.465001)
(0.897475,0.333264)	(0.897555,0.368192)
(0.897475,0.411504)	(0.924071,0.49339)
(0.626698,0.411504)	(0.65051,0.413965)
(0.665493,0.289607)	(0.758043,0.306147)
(0.665493,0.306147)	(0.672,0.323147)
(0.65428,0.306147)	(0.665493,0.331631)
(0.15954,0.439507)	(0.182012,0.449932)
(0.15954,0.655766)	(0.187387,0.67531)
(0.143818,0.655766)	(0.15954,0.67531)
(0.149924,0.257778)	(0.187387,0.294101)
(0.149924,0.294101)	(0.152727,0.313601)
(0.143818,0.294101)	(0.146425,0.340825)
(0.610332,0.451093)	(0.611317,0.461248)
(0.610332,0.461248)	(0.611317,0.49339)
(0.511681,0.461248)	(0.610332,0.49339)
(0.209737,0.835009)	(0.299444,0.838589)
(0.209737,0.874652)	(0.244338,0.878296)
(0.135477,0.874652)	(0.209737,0.885854)
(0.972475,0.938219)	(1,0.939359)
(0.972475,0.939359)	(1,1)
(0.940144,0.939359)	(0.972475,1)
